shape,x1,y1,x2,y2,x3,y3,id
triangle,456.25,381.25,493.75,381.25,475.0,412.5,223
triangle,325.0,475.0,362.5,475.0,343.75,506.25,224
triangle,362.5,475.0,400.0,475.0,381.25,506.25,225
triangle,343.75,506.25,381.25,506.25,362.5,537.5,226
triangle,362.5,475.0,343.75,506.25,381.25,506.25,227
triangle,400.0,475.0,437.5,475.0,418.75,506.25,228
triangle,437.5,475.0,475.0,475.0,456.25,506.25,229
triangle,418.75,506.25,456.25,506.25,437.5,537.5,230
triangle,437.5,475.0,418.75,506.25,456.25,506.25,231
triangle,362.5,537.5,400.0,537.5,381.25,568.75,232
triangle,400.0,537.5,437.5,537.5,418.75,568.75,233
triangle,381.25,568.75,418.75,568.75,400.0,600.0,234
triangle,400.0,537.5,381.25,568.75,418.75,568.75,235
triangle,400.0,475.0,381.25,506.25,418.75,506.25,236
triangle,381.25,506.25,362.5,537.5,400.0,537.5,237
triangle,418.75,506.25,400.0,537.5,437.5,537.5,238
triangle,381.25,506.25,418.75,506.25,400.0,537.5,239
triangle,400.0,350.0,381.25,381.25,418.75,381.25,240
triangle,381.25,381.25,362.5,412.5,400.0,412.5,241
triangle,418.75,381.25,400.0,412.5,437.5,412.5,242
triangle,381.25,381.25,418.75,381.25,400.0,412.5,243
triangle,362.5,412.5,343.75,443.75,381.25,443.75,244
triangle,343.75,443.75,325.0,475.0,362.5,475.0,245
triangle,381.25,443.75,362.5,475.0,400.0,475.0,246
triangle,343.75,443.75,381.25,443.75,362.5,475.0,247
triangle,437.5,412.5,418.75,443.75,456.25,443.75,248
triangle,418.75,443.75,400.0,475.0,437.5,475.0,249
triangle,456.25,443.75,437.5,475.0,475.0,475.0,250
triangle,418.75,443.75,456.25,443.75,437.5,475.0,251
triangle,362.5,412.5,400.0,412.5,381.25,443.75,252
triangle,400.0,412.5,437.5,412.5,418.75,443.75,253
triangle,381.25,443.75,418.75,443.75,400.0,475.0,254
triangle,400.0,412.5,381.25,443.75,418.75,443.75,255
